Date : 2020-01-13 07:35:59
Directory : /Users/mikaelderagon/git/sembly
Total : 196 files,  29983 codes, 2698 comments, 2192 blanks, all 34873 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/login/RCTConvert+FBSDKLogin.m                                                        | Objective-C  |         16 |         17 |          7 |         40 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/login/RCTFBSDKLoginButtonManager.h                                                   | C++          |          4 |         17 |          5 |         26 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/login/RCTFBSDKLoginButtonManager.m                                                   | Objective-C  |         48 |         26 |         19 |         93 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/login/RCTFBSDKLoginManager.h                                                         | C++          |          3 |         17 |          3 |         23 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/login/RCTFBSDKLoginManager.m                                                         | Objective-C  |         98 |         17 |         24 |        139 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTConvert+FBSDKSharingContent.h                                               | C++          |          7 |         17 |          7 |         31 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTConvert+FBSDKSharingContent.m                                               | Objective-C  |        140 |         19 |         17 |        176 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTFBSDKGameRequestDialog.h                                                    | C++          |          4 |         17 |          4 |         25 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTFBSDKGameRequestDialog.m                                                    | Objective-C  |         94 |         17 |         23 |        134 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTFBSDKMessageDialog.h                                                        | C++          |          4 |         17 |          4 |         25 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTFBSDKMessageDialog.m                                                        | Objective-C  |         81 |         17 |         20 |        118 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTFBSDKSendButtonManager.h                                                    | C++          |          4 |         17 |          5 |         26 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTFBSDKSendButtonManager.m                                                    | Objective-C  |         13 |         17 |         10 |         40 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTFBSDKShareAPI.h                                                             | C++          |          4 |         17 |          4 |         25 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTFBSDKShareAPI.m                                                             | Objective-C  |         87 |         17 |         17 |        121 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTFBSDKShareButtonManager.h                                                   | C++          |          3 |         17 |          4 |         24 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTFBSDKShareButtonManager.m                                                   | Objective-C  |         13 |         17 |         10 |         40 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTFBSDKShareDialog.h                                                          | C++          |          4 |         17 |          4 |         25 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTFBSDKShareDialog.m                                                          | Objective-C  |         97 |         17 |         22 |        136 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTFBSDKShareHelper.h                                                          | C++          |          2 |         17 |          3 |         22 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/ios/RCTFBSDK/share/RCTFBSDKShareHelper.m                                                          | Objective-C  |         13 |         17 |          3 |         33 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/FBAccessToken.js                                                                               | JavaScript   |         81 |         97 |         27 |        205 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/FBAppEventsLogger.js                                                                           | JavaScript   |         65 |         81 |         14 |        160 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/FBGameRequestDialog.js                                                                         | JavaScript   |         12 |         28 |          4 |         44 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/FBGraphRequest.js                                                                              | JavaScript   |         29 |         52 |          9 |         90 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/FBGraphRequestManager.js                                                                       | JavaScript   |         59 |         40 |         13 |        112 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/FBLoginButton.js                                                                               | JavaScript   |         56 |         53 |         18 |        127 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/FBLoginManager.js                                                                              | JavaScript   |         38 |         60 |          8 |        106 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/FBMessageDialog.js                                                                             | JavaScript   |         14 |         31 |          6 |         51 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/FBSendButton.js                                                                                | JavaScript   |         26 |         28 |         10 |         64 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/FBShareApi.js                                                                                  | JavaScript   |         19 |         34 |          6 |         59 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/FBShareButton.js                                                                               | JavaScript   |         26 |         28 |         11 |         65 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/FBShareDialog.js                                                                               | JavaScript   |         28 |         58 |          7 |         93 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/index.js                                                                                       | JavaScript   |         48 |         25 |          5 |         78 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/models/FBAppGroupCreationContent.js                                                            | JavaScript   |          9 |         39 |          3 |         51 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/models/FBGameRequestContent.js                                                                 | JavaScript   |         18 |         56 |         11 |         85 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/models/FBShareContent.js                                                                       | JavaScript   |         16 |         38 |          6 |         60 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/models/FBShareLinkContent.js                                                                   | JavaScript   |         11 |         55 |          9 |         75 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/models/FBShareOpenGraphAction.js                                                               | JavaScript   |         10 |         28 |          6 |         44 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/models/FBShareOpenGraphContent.js                                                              | JavaScript   |         10 |         40 |          9 |         59 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/models/FBShareOpenGraphObject.js                                                               | JavaScript   |          4 |         25 |          5 |         34 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/models/FBShareOpenGraphValueContainer.js                                                       | JavaScript   |         30 |         40 |         12 |         82 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/models/FBSharePhoto.js                                                                         | JavaScript   |          6 |         38 |          4 |         48 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/models/FBSharePhotoContent.js                                                                  | JavaScript   |          9 |         37 |          6 |         52 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/models/FBShareVideo.js                                                                         | JavaScript   |          4 |         28 |          2 |         34 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/js/models/FBShareVideoContent.js                                                                  | JavaScript   |         13 |         46 |          9 |         68 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/package.json                                                                                      | JSON         |        117 |          0 |          1 |        118 |
| /Users/mikaelderagon/git/sembly/vendor/react-native-fbsdk/react-native-fbsdk.podspec                                                                        | Ruby         |         26 |          0 |          5 |         31 |
| Total                                                                                                                                                       |              |     29,983 |      2,698 |      2,192 |     34,873 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
